Attendance,Study_Hours,Internal_Marks,Assignment_Completion,Previous_Score,Result
95,8,90,95,92,Pass
88,7,85,90,86,Pass
92,6,88,93,90,Pass
85,5,78,88,80,Pass
80,5,75,82,78,Pass
78,4,72,80,74,Pass
76,4,70,78,72,Pass
82,5,76,84,79,Pass
90,7,89,94,91,Pass
87,6,83,86,84,Pass
84,5,79,85,81,Pass
89,6,86,90,87,Pass
93,7,91,96,94,Pass
81,5,74,80,77,Pass
77,4,71,76,73,Pass
86,6,82,88,83,Pass
91,7,90,95,92,Pass
79,4,73,79,75,Pass
83,5,77,83,80,Pass
94,8,93,97,95,Pass
96,9,95,98,96,Pass
85,6,80,86,82,Pass
88,7,84,89,85,Pass
90,8,89,94,90,Pass
82,5,75,81,78,Pass
78,4,70,77,72,Pass
86,6,83,87,84,Pass
92,8,92,96,93,Pass
84,5,78,84,79,Pass
80,5,74,80,76,Pass
75,4,69,75,70,Pass
89,7,87,91,88,Pass
91,8,90,95,91,Pass
87,6,82,88,84,Pass
93,8,94,98,96,Pass
79,5,72,78,74,Pass
83,5,76,82,79,Pass
88,7,85,90,86,Pass
90,7,88,93,89,Pass
85,6,80,85,81,Pass
60,2,45,50,42,Fail
55,1,40,45,38,Fail
50,1,35,40,32,Fail
48,1,30,35,28,Fail
65,2,50,55,48,Fail
58,2,42,48,40,Fail
62,3,52,58,50,Fail
45,1,25,30,20,Fail
52,1,38,42,35,Fail
67,3,55,60,54,Fail
59,2,44,49,41,Fail
53,1,36,41,33,Fail
47,1,28,34,27,Fail
64,2,49,54,47,Fail
56,2,41,46,39,Fail
61,3,51,57,49,Fail
43,1,22,28,18,Fail
54,1,37,43,34,Fail
66,3,54,59,53,Fail
57,2,43,47,40,Fail
49,1,31,36,29,Fail
63,2,48,53,46,Fail
51,1,34,39,31,Fail
46,1,27,32,25,Fail
68,3,56,61,55,Fail
60,2,46,51,43,Fail
55,1,39,44,37,Fail
44,1,24,29,19,Fail
58,2,42,47,39,Fail
65,3,53,58,52,Fail
52,1,35,40,33,Fail
47,1,29,33,26,Fail
69,3,57,62,56,Fail
62,2,50,56,48,Fail
54,1,38,43,36,Fail
48,1,30,34,28,Fail
61,2,47,52,45,Fail
56,2,41,45,38,Fail
45,1,23,27,17,Fail
67,3,55,60,54,Fail
53,1,36,41,34,Fail
59,2,44,48,41,Fail
50,1,32,37,30,Fail
64,2,49,55,47,Fail
57,2,42,46,39,Fail
46,1,26,31,24,Fail
63,3,52,57,50,Fail
55,1,39,44,36,Fail
49,1,31,35,28,Fail
66,3,54,59,53,Fail
58,2,43,48,40,Fail
47,1,28,32,25,Fail
60,2,45,50,42,Fail
52,1,34,39,32,Fail
44,1,22,26,18,Fail
68,3,56,61,55,Fail
61,2,48,53,46,Fail
54,1,37,42,35,Fail
48,1,29,34,27,Fail
65,3,53,58,51,Fail
56,2,40,45,38,Fail
45,1,24,28,20,Fail
